group_id,leader,member,modify_leader,image_url,label,canonical leader ,brand,name,package ,promotion
95,20 bhbluekingsize,20 bhbluekingsize,Yes,,TRUE,Benson & Hedges Blue king size cigarettes 20 units,Benson & Hedges,Blue king size cigarettes,20 units,0
566,aero bubble peppermint mint chocolate sharing pouch 102 g,aero milk chocolate sharing bar  100 g,No,,FALSE,Nestlé Aero milk chocolate sharing bar  100 g,Nestlé,Aero milk chocolate sharing bar ,100 g,0
566,aero bubble peppermint mint chocolate sharing pouch 102 g,aero orange chocolate sharing bar  100 g,No,,FALSE,Nestlé Aero orange chocolate sharing bar 100 g,Nestlé,Aero orange chocolate sharing bar,100 g,0
566,aero bubble peppermint mint chocolate sharing pouch 102 g,aero peppermint chocolate sharing bar  100 g,No,,FALSE,Nestlé Aero peppermint chocolate sharing bar 100 g,Nestlé,Aero peppermint chocolate sharing bar,100 g,0
500,aero caramel chocolate sharing bar  100 g,aero caramel chocolate sharing bar  100 g,Yes,,TRUE,Nestlé Aero caramel chocolate sharing bar  100 g,Nestlé,Aero caramel chocolate sharing bar ,100 g,0
923,alpro uht oat milk original,alpro oat milk original,No,,TRUE,alpro uht oat milk original,Alpro,Oat original milk,1 unit,0
1073,ambrosia devon custard 400 g,ambrosia devon custard 400g tin,No,,TRUE,ambrosia devon custard 400 g,Ambrosia,Devon custard,400 g,0
44850,arla cravendale semi skimmed milk 2 l,2l semi skimmed fresh milk 2 l,No,,FALSE, Semi skimmed fresh milk 2 L,,Semi skimmed fresh milk,2 L,0
3061,bell 35cl,bell 35cl,Yes,,TRUE,Bell's Whisky 350 ml,Bell's,Whisky,350 ml,0
3707,big hoop bbg,big hoop bbg,Yes,,TRUE,Hula Hoops Big hoop BBQ flavour crisps 1 unit,Hula Hoops,Big hoop BBQ flavour crisps,1 unit,0
4045,birra moretti lge nrb 600ml,birra moretti lge nrb 600ml,Yes,,TRUE,Birra Moretti Lager beer 600 ml,Birra Moretti,Lager beer,600 ml,0
4481,bobby salt n vinegar spiral,bobby spiral salt vinegar,No,,TRUE,bobby salt n vinegar spiral,Bobby's,Salt & vinegar spiral potato snacks,1 unit,0
4728,boost energy drink 1ltr,boost energy drink 1ltr,Yes,,TRUE,Boost Energy drink 1 L,Boost,Energy drink,1 L,0
44674,british whole milk 2 l,2l whole fresh milk 2 l,No,,TRUE,british whole milk 2 l,,Whole milk,2 L,0
5191,budweiser 440ml 4pack,budweiser 440ml 4pack,Yes,,TRUE,Budweiser Beer pack 4 u x 400 ml c/u,Budweiser,Beer pack,4 u x 400 ml c/u,0
5288,budweiser 4pk,budweiser 4pk can,No,,TRUE,budweiser 4pk,Budweiser,Beer pack,4 units,0
5286,budwelser can 500ml,budwelser can 500ml,Yes,,TRUE,Budweiser Beer pack 500 ml,Budweiser,Beer pack,500 ml,0
5475,butterkist cinema sweet popcorn 70 g,butterkist sweet popcorn 70g,No,,TRUE,butterkist cinema sweet popcorn 70 g,Butterkist,Cinema sweet popcorn,70 g,0
5475,butterkist cinema sweet popcorn 70 g,butterkist sweet salty popcorn 70g,No,,FALSE,Butterkist Sweet salty popcorn 70 g,Butterkist,Sweet salty popcorn,70 g,0
5475,butterkist cinema sweet popcorn 70 g,butterkist sweetsalted popcorn 70g,No,,FALSE,Butterkist Sweet salty popcorn 70 g,Butterkist,Sweet salty popcorn,70 g,0
5481,butterkist toffee popcorn 78 g,butterkist crunchy toffee popcorn 78g,No,,TRUE,butterkist toffee popcorn 78 g,Butterkist,Toffee popcorn,78 g,0
5481,butterkist toffee popcorn 78 g,butterkist toffee popcorn 78g,No,,TRUE,butterkist toffee popcorn 78 g,Butterkist,Toffee popcorn,78 g,0
6436,cadbury creme egg,cadburys creme egg,No,,FALSE,Cadbury Dairy milk chocolate egg 1 unit,Cadbury,Dairy milk chocolate egg,1 unit,0
6438,cadbury dairy milk bitsa wispa,cadbury dairy milk,No,,FALSE,Cadbury Dairy milk chocolate bar 1 unit,Cadbury,Dairy milk chocolate bar,1 unit,0
6438,cadbury dairy milk bitsa wispa,cadbury dairy milk caramel,No,,FALSE,Cadbury Dairy milk chocolate caramel bar 1 unit,Cadbury,Dairy milk chocolate caramel bar,1 unit,0
12651,cadbury dairy milk chocolate bar 95 g,cadbury dairy milk chocolate bar  95 g,No,,TRUE,cadbury dairy milk chocolate bar 95 g,Cadbury,Dairy milk chocolate bar,95 g,0
12651,cadbury dairy milk chocolate bar 95 g,cadbury dairy milk chopped nut bar  95 g,No,,FALSE,Cadbury Dairy milk chopped nut chocolate bar 95 g,Cadbury,Dairy milk chopped nut chocolate bar,95 g,0
12651,cadbury dairy milk chocolate bar 95 g,cadbury dairy milk fruit and nut chopped bar  95 g,No,,FALSE,Cadbury Dairy milk fruit and nut chopped chocolate bar 95 g,Cadbury,Dairy milk fruit and nut chopped chocolate bar,95 g,0
12651,cadbury dairy milk chocolate bar 95 g,dairy milk chopped nut 95 g,No,,FALSE,Cadbury Dairy milk chopped nut chocolate bar 95 g,Cadbury,Dairy milk chopped nut chocolate bar,95 g,0
6354,cadbury dairy milk white oreo 120 g,cadbury chocolate finger 114g,No,,FALSE,Cadbury Chocolate finger 114 g,Cadbury,Chocolate finger,114 g,0
6354,cadbury dairy milk white oreo 120 g,cadbury dairy milk caramel bar  120 g,No,,FALSE,Cadbury Dairy milk chocolate caramel bar 120 g,Cadbury,Dairy milk chocolate caramel bar,120 g,0
6354,cadbury dairy milk white oreo 120 g,cadbury dairy milk daim bar  120 g,No,,FALSE,Cadbury Dairy milk chocolate daim bar  120 g,Cadbury,Dairy milk chocolate daim bar ,120 g,0
6354,cadbury dairy milk white oreo 120 g,cadbury dairy milk with oreo chocolate bar  120 g,No,,FALSE,Cadbury Dairy milk with oreo chocolate bar 120 g,Cadbury,Dairy milk with oreo chocolate bar,120 g,0
6318,cadbury twirl bite,cadbury twirl bite,No,,TRUE,cadbury twirl bite,Cadbury,Twirl chocolate bite,1 unit,0
6318,cadbury twirl bite,cadbury twirl bite bag,No,,TRUE,cadbury twirl bite,Cadbury,Twirl chocolate bite,1 unit,0
6442,cadburys dairy milk button bag,cadburys dairy milk button bag,Yes,,TRUE,Cadbury Dairy milk chocolate button bag 1 unit,Cadbury,Dairy milk chocolate button bag,1 unit,0
6477,cadburys hot chocolate 250 g,cadbury hot chocolate 250g,No,,TRUE,cadburys hot chocolate 250 g,Cadbury,Hot chocolate,250 g,0
7445,cathedral city white mature cheddar 350 g,cathedral city extra mature cheddar350g,No,,FALSE,Cathedral City Extra mature cheddar cheese 350 g,Cathedral City,Extra mature cheddar cheese,350 g,0
7445,cathedral city white mature cheddar 350 g,cathedral city white mature cheddar350g,No,,TRUE,cathedral city white mature cheddar 350 g,Cathedral City,White mature cheddar cheese,350 g,0
43426,cheese and onion 65 g,walker cheese onion 65g,No,,TRUE,cheese and onion 65 g,Walker,Cheese and onion crisps,65 g,0
43426,cheese and onion 65 g,walker crisp cheese onion 65g,No,,TRUE,cheese and onion 65 g,Walker,Cheese and onion crisps,65 g,0
7770,cheetos twistedflamin hot 65g,cheetos twistedflamin hot 65g,Yes,,TRUE,cheetos twisted flamin hot chips 65 g,Cheetos,Twisted flamin hot chips ,65 g,0
43458,cheetos twstd 65 g,cheetos twisted flamin hot 65g,No,,TRUE,cheetos twstd 65 g,Cheetos,Twisted flamin hot chips ,65 g,0
8179,chocomel one and only 250 ml,chocomel one and only 250 ml,Yes,,TRUE,chocomel chocolate flavour milk 250 ml,Chocomel,Chocolate flavour milk,250 ml,0
8456,clear response pregnancy test 2x,clear response pregnancy test 2x,Yes,,TRUE,clear response pregnancy test 2 unit,Clear,Response pregnancy test,2 unit,0
11685,co-op sweet and salted popcorn 100 g,coop sweet popcorn 100g,No,,TRUE,co-op sweet and salted popcorn 100 g,Co-op,Sweet and salted popcorn,100 g,0
10090,coca cola cherry 330ml,coca cola cherry 330ml,Yes,,TRUE,coca cola cherry soda 330 ml,Coca Cola,Cherry soda,330 ml,0
10158,coca cola regular1.5,coca cola regular,Yes,,TRUE,coca cola regular soda 1.5 L,Coca Cola,Regular soda,1.5 L,0
10158,coca cola regular1.5,coca cola regular1.5,Yes,,TRUE,coca cola regular soda 1.5 L,Coca Cola,Regular soda,1.5 L,0
10160,coca cola regular330ml,coca cola regular330ml,Yes,,TRUE,coca cola regular soda 330 ml,Coca Cola,Regular soda,330 ml,0
10161,coca cola regular500ml,coca cola regular500ml,Yes,,TRUE,coca cola regular soda 500 ml,Coca Cola,Regular soda,500 ml,0
10199,coca cola zero contour 1.75 l,coca cola zero contour1.75ml,No,,TRUE,coca cola zero contour 1.75 l,Coca Cola,Zero contour ,1.75 L,0
10253,cocacola coke 1.5ltr,cocacola coke 1.5ltr,Yes,,TRUE,coca cola soda 1.5 L,Coca Cola,Soda,1.5 L,0
10439,coke vanilla 500ml,coke vanilla 500 ml,No,,TRUE,coke vanilla 500ml,Coke,Vanilla soda,500 ml,0
10910,coop bacon rasher share bag,coop bacon rasher share bag,Yes,,TRUE,co-op bacon rasher share,Co-op,Bacon rasher share,,0
11571,coop salterd popcorn 100g,coop salterd popcorn 100g,Yes,,TRUE,co-op salterd popcorn 100 g,Co-op,Salterd popcorn ,100 g,0
12379,crispy roll,crispy roll,Yes,,TRUE,crispy roll 1 unit,,Crispy roll,1 unit,0
12622,daim bar28g,daim bar28g,Yes,,TRUE,daim crunchy caramel 28 g,Daim,Crunchy caramel,28 g,0
12710,dairylea dunker jumbo,dairylea dunker jumbo,No,,TRUE,dairylea dunker jumbo,Dairylea,Dunker jumbo tubes cheese ,,0
12710,dairylea dunker jumbo,dairylea dunker jumbo p,No,,TRUE,dairylea dunker jumbo,Dairylea,Dunker jumbo tubes cheese ,,0
12735,dairylea lunchables ham & cheese,dairylea lunchables ham cheese,No,,TRUE,dairylea lunchables ham & cheese,Dairylea,Lunchables ham & cheese,,0
13391,diet coke 1.75ltr,diet coke 1.75ltr,Yes,,TRUE,coke diet soda 1.75 L,Coke,Diet soda ,1.75 L,0
13918,doritos dip nacho cheese,dortios nacho cheese dip,No,,TRUE,doritos dip nacho cheese,Doritos,Dip nacho cheese,1 unit,0
14540,echo fall summer berry 750 ml,echo fall fruit summer berry 750ml,No,,TRUE,echo fall summer berry 750 ml,Echo fall ,Summer berry ,750 ml,0
14801,elf bar 600 blueberry sour raspberry,elf bar blueberry raspberry 600p,No,,TRUE,elf bar 600 blueberry sour raspberry,Elf Bar,Blueberry sour raspberry,1 unit,0
14952,elf bar kiwi passionfruit guava 600 puff,elf bar kiwi passionfruit guava 600p,No,,TRUE,elf bar kiwi passionfruit guava 600 puff,Elf Bar,Kiwi passionfruit guava,1 unit,0
14952,elf bar kiwi passionfruit guava 600 puff,elfbar kiwi passionfruit guava 600 puff,No,,TRUE,elf bar kiwi passionfruit guava 600 puff,Elf Bar,Kiwi passionfruit guava,1 unit,0
14893,elf bar pink lemonade 600s,elf bar d pod pink lemonade 600,Yes,,TRUE,elf bar pink lemonade 600 puff 1 unit,Elf Bar,Pink lemonade 600 puff,1 unit,0
14893,elf bar pink lemonade 600s,elf bar pink lemonade 600p,Yes,,TRUE,elf bar pink lemonade 600 puff 1 unit,Elf Bar,Pink lemonade 600 puff,1 unit,0
14893,elf bar pink lemonade 600s,elf bar pink lemonade 600s,Yes,,TRUE,elf bar pink lemonade 600 puff 1 unit,Elf Bar,Pink lemonade 600 puff,1 unit,0
34126,elf bar strawberry banana,elfbarstrawberry banana,No,,TRUE,elf bar strawberry banana,Elf Bar,Strawberry banana,1 unit,0
34126,elf bar strawberry banana,puff bar strawberry banana,No,,TRUE,elf bar strawberry banana,Elf Bar,Strawberry banana,1 unit,0
14909,elf bar strawberry ice 600p,elf bar strawberry ice 600p,Yes,,TRUE,elf bar strawberry ice 600 puff 1 unit,Elf Bar,Strawberry ice 600 puff ,1 unit,0
15011,elmlea double cream 284 ml,elmlea double cream 284ml,No,,TRUE,elmlea double cream 284 ml,Elmlea,Double cream,284 ml,0
38838,evain still water 1.5 l,evian 1.5 ltr,No,,TRUE,evain still water 1.5 l,Evian,Still water,1.5 L,0
38838,evain still water 1.5 l,highland 1.5 ltr,No,,TRUE,evain still water 1.5 l,Evian,Still water,1.5 L,0
38838,evain still water 1.5 l,highland sparkling 1.5 ltr,No,,TRUE,evain still water 1.5 l,Evian,Still water,1.5 L,0
38838,evain still water 1.5 l,highland spring 1.5 ltr,No,,TRUE,evain still water 1.5 l,Evian,Still water,1.5 L,0
15442,evian mineral water sportscap 750 ml,evian mineral water sportscap750ml,No,,TRUE,evian mineral water sportscap 750 ml,Evian,Mineral water sportscap ,750 ml,0
15444,evian mineral water500ml,evian mineral water500ml,Yes,,TRUE,evian mineral water 500 ml,Evian,Mineral water sportscap ,500 ml,0
15445,evian natural mineral water 1.5 l,evian mineral water1.5l,No,,TRUE,evian natural mineral water 1.5 l,Evian,Natural mineral water ,1.5 L,0
15744,fanta fruit twist,fanta fruit twist,No,,TRUE,fanta fruit twist,Fanta,Fruit twist ,1 unit,0
15805,fanta orange,fanta orange,No,,TRUE,fanta orange,Fanta,Orange,1 unit,0
15808,fanta orange 2litre,fanta orange 2ltr,No,,TRUE,fanta orange 2litre,Fanta,Orange,2 L,0
16347,flare cocktails on the beach 250 ml,flare cocktail on the beach 250ml,No,,TRUE,flare cocktails on the beach 250 ml,Flare,Cocktails on the beach,250 ml,0
39186,foster 10pk x 440ml,foster 10pk 10 x 440ml,No,,TRUE,foster 10pk x 440ml,Foster's,Lager beer,10 x 440 ml,0
17438,galaxy smooth caramel chocolate bar 110 g,galaxy smooth caramel chocolate block  114 g,No,,FALSE,galaxy smooth caramel chocolate 114 g,Galaxy,Smooth caramel chocolate,114 g,0
17879,ginsters deep fill cheese and onion slice 170 g,ginsters cheese and onion slice 170 g,No,,TRUE,ginsters deep fill cheese and onion slice 170 g,Ginsters,Deep fill cheese and onion,170 g,0
17934,glen 20cl,glen 20cl,Yes,,TRUE,glen vodka 20cl,Glen's,Vodka,200 ml,0
17938,glen 70cl,glen 70cl,Yes,,TRUE,glen's vodka 700 ml,Glen's,Vodka,700 ml,0
17959,glen vodka 20cl,glen vodka 20cl,No,,TRUE,glen vodka 20cl,Glen's,Vodka,200 ml,0
17962,glen vodka 35cl,glen vodka 35cl,Yes,,TRUE,glen's vodka 350 ml,Glen's,Vodka,350 ml,0
18262,goodfellas stone baked thin,goodfellas stone baked thin,Yes,,TRUE,goodfella's stonebaked thin pizza,Goodfella's,Stonebaked thin pizza,1 unit,0
18266,goodfellas stonebaked thin pepperoni,goodfellas stonebaked thin pepperoni,Yes,,TRUE,goodfella's stonebaked thin pepperoni pizza,Goodfella's,Stonebaked thin pepperoni pizza,1 unit,0
33298,gordon pink gin tonic 250ml,gordons tonic 250ml,No,,FALSE,gordon's gin & tonic 250 ml,Gordon's,Gin & tonic,250 ml,0
19114,hagen dazs fruit minicups,hagen dazs fruit minicups,Yes,,TRUE,hagen dazs fruit minicups,Hägen Dazs,Fruit minicups ice cream,,0
36918,hardy vr sauvignon blanc 75cl,casillero del diablo sauignon blanc 75cl,No,,FALSE,casillero del diablo sauignon blanc wine 750 ml,Casillero del Diablo,Sauvignon blanc wine,750 ml,0
20058,haribo fruitilicious,haribo fruitilicious bag,No,,TRUE,haribo fruitilicious,Haribo,Fruitilicious gum ,1 unit,0
20109,haribo jelly bean,haribo jelly baby,No,,FALSE,haribo jelly baby,Haribo,Jelly baby,1 unit,0
20109,haribo jelly bean,haribo jelly bean,No,,TRUE,haribo jelly bean,Haribo,Jelly bean,1 unit,0
20184,haribo starmix 190g,haribo starmix 160g,No,,TRUE,haribo starmix 190g,Haribo,Starmix gummi,190 g,0
20217,haribo tangfastics 160g,haribo tangfastics 160g,Yes,,TRUE,haribo tangfastics gummi 160 g,Haribo,Tangfastics gummi,160 g,0
20218,haribo tangfastics 175 g,haribo tangfastics 175 g,Yes,,TRUE,haribo tangfastics gummi 175 g,Haribo,Tangfastics gummi,175 g,0
20425,heets turquoise selection 20 tobacco stick,heets amber selection 20,No,,FALSE,heets amber selection tobacco 20 units,Heets,Amber selection tobacco,20 units,0
20425,heets turquoise selection 20 tobacco stick,heets amber selection 20 stick,No,,FALSE,heets amber selection tobacco 20 units,Heets,Amber selection tobacco,20 units,0
20425,heets turquoise selection 20 tobacco stick,heets amber selection tobacco stick 20,No,,FALSE,heets amber selection tobacco 20 units,Heets,Amber selection tobacco,20 units,0
20425,heets turquoise selection 20 tobacco stick,heets blue selection 20 stick,No,,FALSE,heets blue selection tobacco 20 units,Heets,Blue selection tobacco,20 units,0
20425,heets turquoise selection 20 tobacco stick,heets green selection 20 stick,No,,FALSE,heets green selection tobacco 20 units,Heets,Green selection tobacco,20 units,0
20425,heets turquoise selection 20 tobacco stick,heets teak selection 20,No,,FALSE,heets teak selection tobacco 20 units,Heets,Teak selection tobacco,20 units,0
20425,heets turquoise selection 20 tobacco stick,heets teak selection 20 stick,No,,FALSE,heets teak selection tobacco 20 units,Heets,Teak selection tobacco,20 units,0
20425,heets turquoise selection 20 tobacco stick,heets teak selection tobacco stick 20,No,,FALSE,heets teak selection tobacco 20 units,Heets,Teak selection tobacco,20 units,0
20425,heets turquoise selection 20 tobacco stick,heets turquoise selection 20,No,,TRUE,heets turquoise selection 20 tobacco stick,Heets,Turquoise selection tobacco,20 units,0
20425,heets turquoise selection 20 tobacco stick,heets turquoise selection 20 stick,No,,TRUE,heets turquoise selection 20 tobacco stick,Heets,Turquoise selection tobacco,20 units,0
20425,heets turquoise selection 20 tobacco stick,heets turquoise selection tobacco stick 20,No,,TRUE,heets turquoise selection 20 tobacco stick,Heets,Turquoise selection tobacco,20 units,0
20425,heets turquoise selection 20 tobacco stick,heets yellow selection 20 stick,No,,FALSE,heets yellow selection tobacco 20 units,Heets,Yellow selection tobacco,20 units,0
20425,heets turquoise selection 20 tobacco stick,heets yellow selection tobacco stick 20,No,,FALSE,heets yellow selection tobacco 20 units,Heets,Yellow selection tobacco,20 units,0
20619,heinz five beanz 415g,heinz beanz 415g,No,,TRUE,heinz five beanz 415g,Heinz,Five beanz,415 g,0
21524,hula hoop bbq beef 70g,hula hoop bbq beef 70g,Yes,,TRUE,hula hoop bbq beef chips 70 g,Hula Hoop,Bbq beef chips,70 g,0
21780,ice comp premium ice cubes1kg,ice comp premium ice cube 1kg,No,,TRUE,ice comp premium ice cubes1kg,The Ice Co ,Ice cubes,1 kg,0
21881,inch apple cider 440ml alc 4.5 % x 4pack,inch apple cider 440ml alc 4.5 % x 4pack,No,,TRUE,inch apple cider 440ml alc 4.5 % x 4pack,Inch's,Apple cider ,4 x 440 ml ,0
21947,irn bru 330ml can,irn bru 330ml can,No,,TRUE,irn bru 330ml can,Irn Bru,Drink sparkling,330 ml,0
22738,jacob's baked cheese & onion crinklys 90 g,jacob baked crinklys cheese onion90g,No,,TRUE,jacob's baked cheese & onion crinklys 90 g,Jacob's,Baked cheese & onion crinklys crisps,90 g,0
23452,k cider 4pk,k cider 4pk,Yes,,TRUE,k cider 4 units,K,Cider,4 units,0
23743,kellogg's coco pop 480 g,kellogg coco pop 480g,No,,TRUE,kellogg's coco pop 480 g,Kellogg's ,Coco pop cereal,480 g,0
23728,kellogg's corn flakes 550 g,kellogg cornflakes 550g,No,,TRUE,kellogg's corn flakes 550 g,Kellogg's ,Corn flakes cereal,550 g,0
23735,kellogs frosties 500 g,kellogg frosties 500g,No,,TRUE,kellogs frosties 500 g,Kellogg's ,Frosties cereal,500 g,0
