group_id,leader,member,modify_leader,image_url,label,canonical leader ,brand,name,package ,promotion
23872,kershaws homestyle big breakfast 400 g,kershaws big breakfast 400g,No,,TRUE,kershaws homestyle big breakfast 400 g,Kershaws,Homestyle big breakfast,400 g,0
24074,kinder chocolate 100g t8,kinder chocolate 100g t8,Yes,,TRUE,Kinder Chocolate bar 100 g,Kinder,Chocolate bar,100 g,0
24123,kinder milkhazelnut 20.7 g,kinder milkhazelnut 20.7 g,Yes,,TRUE,Kinder Milk & hazelnut chocolate bar 20.7 g,Kinder,Milk & hazelnut chocolate bar,20.7 g,0
24811,kp honey roast peanut 65g,kp honey roast peanut 65g,No,,TRUE,kp honey roast peanut 65g,KP,Honey roast peanuts,65 g,0
24816,kp original salted nut,kp original salted nut,No,,TRUE,kp original salted nut,KP,Original salted nuts,1 unit,0
24818,kp original salted peanut 65g,kp original salted peanut 65g,No,,TRUE,kp original salted peanut 65g,KP,Original salted peanuts,65 g,0
24823,kp peanut dry roasted,h dry roasted peanut,No,,FALSE, Dry roasted peanuts 1 unit,,Dry roasted peanuts,1 unit,0
24823,kp peanut dry roasted,kp dry roasted peanut,No,,TRUE,kp peanut dry roasted,KP,Dry roasted peanuts,1 unit,0
25210,lambert and butler king size silver t and t 20,lambert butler king size silver t and t 20,No,,TRUE,lambert and butler king size silver t and t 20,Lambert & Butler,Silver king size cigars,20 units,0
26063,locket honey lemon 43g,locket honey and lemon 43 g,No,,TRUE,locket honey lemon 43g,Lockets,Honey & lemon sweets,43 g,0
26452,lucozade sport orange drink 500 ml,aloe vera original 500 ml,No,,FALSE,Aloe vera original drink 500 ml,,Aloe vera original drink,500 ml,0
26452,lucozade sport orange drink 500 ml,coke original 500 ml,No,,FALSE,Coke Original soda 500 ml,Coke,Original soda,500 ml,0
26452,lucozade sport orange drink 500 ml,lucozade energy orange500ml,No,,FALSE,Lucozade Energy Orange energy drink 500 ml,Lucozade Energy,Orange energy drink,500 ml,0
26452,lucozade sport orange drink 500 ml,lucozade energy orange900ml,No,,FALSE,Lucozade Energy Orange energy drink 900 ml,Lucozade Energy,Orange energy drink,900 ml,0
26452,lucozade sport orange drink 500 ml,lucozade energy original500ml,No,,FALSE,Lucozade Energy Original energy drink 500 ml,Lucozade Energy,Original energy drink,500 ml,0
26452,lucozade sport orange drink 500 ml,lucozade orange 900ml,No,,FALSE,Lucozade Energy Orange energy drink 900 ml,Lucozade Energy,Orange energy drink,900 ml,0
26452,lucozade sport orange drink 500 ml,lucozade raspberry 500 ml,No,,FALSE,Lucozade Energy Raspberry energy drink 500 ml,Lucozade Energy,Raspberry energy drink,500 ml,0
26429,lucozade sport orange500ml,lucozade sport orange500ml,Yes,,TRUE,Lucozade Energy Sport orange energy drink 500 ml,Lucozade Energy,Sport orange energy drink,500 ml,0
29278,m m brownie 70g,mm brownie new 70g,No,,TRUE,m m brownie 70g,M&M´s,Brownie & chocolate treats,70 g,0
27205,mar  350ml,mar 350ml,No,,TRUE,mar  350ml,,Mar,350 ml,0
27606,maryland big & chunky milk & dark cookies,maryland cooky big chunky milk dark choc,No,,TRUE,maryland big & chunky milk & dark cookies,Maryland,Big & chunky milk & dark chocolate cookies,1 unit,0
27606,maryland big & chunky milk & dark cookies,maryland milk dark big chunky,No,,TRUE,maryland big & chunky milk & dark cookies,Maryland,Big & chunky milk & dark chocolate cookies,,0
27585,maryland cooky choc chip,maryland cooky choc chip,No,,TRUE,maryland cooky choc chip,Maryland,Chocolate chip cookies,1 unit,0
28001,mccoys cheddar onion 65g,mc coys cheddar onion 65g,No,,TRUE,mccoys cheddar onion 65g,McCoy's,Cheddar & onion crisps,65 g,0
28077,mccoys thai sweet chicken,mccoys thai sweet chicken,No,,TRUE,mccoys thai sweet chicken,McCoy's,Thai & sweet chicken crisps,1 unit,0
28298,mcvities hobnobs,mcvities hobnobs,No,,TRUE,mcvities hobnobs,McVitie's,Hobnobs biscuit,1 unit,0
28439,mcvities jaffa cake,mcvities jaffa cake,No,,TRUE,mcvities jaffa cake,McVitie's,Jaffa cakes,1 unit,0
28360,mcvities milk chocolate digestive,mcvities dark chocolate digestive,No,,FALSE,McVitie's Digestive dark chocolate1 unit,McVitie's,Digestive dark chocolate,1 unit,0
28360,mcvities milk chocolate digestive,mcvities digestive thins dark choco,No,,FALSE,McVitie's Digestive thins dark chocolate1 unit,McVitie's,Digestive thins dark chocolate,1 unit,0
28360,mcvities milk chocolate digestive,mcvities milk chocolate digestive,No,,TRUE,mcvities milk chocolate digestive,McVitie's,Digestive milk chocolate,1 unit,0
28513,melis chicken sausage,melis chicken sausage,Yes,,TRUE,melis chicken sausage,Melis,Chicken sausages,1 unit,0
28997,milkybar white chocolate sharing block 100g,milkybar white chocolate sharing block  100 g,No,,TRUE,milkybar white chocolate sharing block 100g,Milkybar,White chocolate bar,100 g,0
29354,mm peanut chocolate pouch bag 125g,mm peanut chocolate pouch 125 g,No,,TRUE,M&M´S Peanut & chocolate treats125 g,M&M´S,Peanut & chocolate treats,125 g,0
29365,mm peanut treat bag,mm peanut treat bag,No,,TRUE,mm peanut treat bag,M&M´S,Peanut & chocolate treats,1 unit,0
29479,monster energy,monster energy,No,,TRUE,monster energy,Monster Energy,Energy drink,1 unit,0
29508,monster energy papillon,monster energy papillon,No,,TRUE,monster energy papillon,Monster Energy,Papillon energy drink,1 unit,0
29565,monster mango loco energy 500ml,monster mango loco energy 500ml,Yes,,TRUE,Monster Energy Mango loco energy drink 500 ml,Monster Energy,Mango loco energy drink,500 ml,0
29573,monster monarch juiced 500ml,monster juiced monarch 500ml,No,,TRUE,monster monarch juiced 500ml,Monster Energy,Juiced monarch energy drink,500 ml,0
29653,monster punch pacific punch,monster pacific punch,No,,TRUE,monster punch pacific punch,Monster Energy,Pacific punch energy drink,1 unit,0
29655,monster punch pipeline punch,monster pipeline punch,No,,TRUE,monster punch pipeline punch,Monster Energy,Pipeline punch energy drink,1 unit,0
29725,monster ultra gold energy 500 ml,monster energy 500ml,No,,FALSE,Monster Energy drink 500 ml,Monster Energy,drink,500 ml,0
29725,monster ultra gold energy 500 ml,monster energy nitro 500ml,No,,FALSE,Monster Energy Nitro energy drink 500 ml,Monster Energy,Nitro energy drink,500 ml,0
29725,monster ultra gold energy 500 ml,monster energy pacific punch 500ml,No,,FALSE,Monster Energy Pacific punch energy drink 500 ml,Monster Energy,Pacific punch energy drink,500 ml,0
29725,monster ultra gold energy 500 ml,monster energy ultra 500ml,No,,FALSE,Monster Energy Ultra energy drink 500 ml,Monster Energy,Ultra energy drink,500 ml,0
29725,monster ultra gold energy 500 ml,monster juiced ripper 500ml,No,,FALSE ,Monster juiced ripper drink 500 ml,Monster,juiced ripper drink,500 ml,0
29725,monster ultra gold energy 500 ml,monster mixxd punch 500ml,No,,FALSE ,Monster mixxd punch drink 500 ml,Monster,mixxd punch drink,500 ml,0
29725,monster ultra gold energy 500 ml,monster monarch energy drink 500ml,No,,FALSE ,Monster monarch energy drink 500 ml,Monster,monarch energy drink,500 ml,0
29725,monster ultra gold energy 500 ml,monster nitro super dry 500ml,No,,FALSE ,Monster nitro super dry 500 ml,Monster,nitro super dry,500 ml,0
29725,monster ultra gold energy 500 ml,monster pacific punch 500ml,No,,FALSE ,Monster pacific punch drink 500 ml,Monster,pacific punch drink,500 ml,0
29725,monster ultra gold energy 500 ml,monster pipeline 500 ml,No,,FALSE ,Monster pipeline drink 500 ml,Monster,pipeline drink,500 ml,0
29725,monster ultra gold energy 500 ml,monster pipeline punch 500ml,No,,FALSE ,Monster pipeline punch drink 500 ml,Monster,pipeline punch drink,500 ml,0
29725,monster ultra gold energy 500 ml,monster pipeline punch energy 500ml,No,,FALSE ,Monster pipeline punch energy drink 500 ml,Monster,pipeline punch energy drink,500 ml,0
29725,monster ultra gold energy 500 ml,monster punch mixxd 500ml,No,,FALSE ,Monster punch mixxd drink 500 ml,Monster,punch mixxd drink,500 ml,0
29725,monster ultra gold energy 500 ml,monster ultra blue zero sugar 500ml,No,,FALSE ,Monster ultra blue zero sugar drink 500 ml,Monster,ultra blue zero sugar drink,500 ml,0
29725,monster ultra gold energy 500 ml,monster ultra zero sugar 500ml,No,,FALSE ,Monster ultra zero sugar drink 500 ml,Monster,ultra zero sugar drink,500 ml,0
29722,monster ultra zero,monster ultra zero sugar,No,,FALSE ,Monster ultra zero sugar drink 1 unit,Monster,ultra zero sugar drink,1 unit,0
29755,morgan spiced 35 % dst  70cl,morgan spiced 35 % dst,No,,FALSE ,Morgan spiced 35 % dst rum 1 unit,Morgan,spiced 35 % dst rum,1 unit,0
30872,new irn bru 500ml,new irn bru 500ml,Yes,,TRUE ,Irn Bru new drink 500 ml,Irn Bru,new drink,500 ml,0
30936,nicky soft touch 4 roll,nicky soft touch ttissue 4 roll,No,,TRUE ,nicky soft touch 4 roll,Nicky,soft touch toilet tissue,4 roll,0
30961,nik naks nice and spicy 85 g,nik naks nice n spicy 85g,No,,TRUE ,nik naks nice and spicy 85 g,Nik Naks,nice and spicy crisps,85 g,0
31195,oasis summer fruit  ml,oasis summer fruit,No,,TRUE ,oasis summer fruit,Oasis,summer fruit drink,1 unit,0
31701,oreo double stuf vanilla cooky,oreo double stuf vanilla cooky,Yes,,TRUE ,Oreo double stuf vanilla cookies 1 unit,Oreo,double stuf vanilla cookies,1 unit,0
31734,oreo original 154g,oreo original 154g,No,,TRUE ,oreo original 154g,Oreo,original cookies,154 g,0
32777,pepsi max,pepsi max,No,,TRUE ,pepsi max,Pepsi,max soft drink,1 unit,0
32896,pepsi regular,pepsi regular,No,,TRUE ,pepsi regular,Pepsi,regular soft drink,1 unit,0
33735,pregnancy test,pregnancy test,Yes,,TRUE ,Pregnancy test 1 unit,,pregnancy test,1 unit,0
34763,red bull energy,red bull energy,No,,TRUE ,red bull energy,Red Bull,energy drink,1 unit,0
34780,red bull energy 473 ml,red bull energy drink 473ml,No,,TRUE ,red bull energy 473 ml,Red Bull,energy drink,473 ml,0
34808,red bull sugar free,red bull sugar free,No,,TRUE ,red bull sugar free,Red Bull,sugar free drink,1 unit,0
35139,relentless origin 500ml,relentless origin 500ml,No,,TRUE ,relentless origin 500ml,Relentless,origin drink,500 ml,0
35144,relentless passion punch 500ml,relentless passion punch 500ml,No,,TRUE ,relentless passion punch 500ml,Relentless,passion punch drink,500 ml,0
35283,ribena rtd blackcurrant,ribena rtd blackcurrant,No,,TRUE ,ribena rtd blackcurrant,Ribena,rtd blackcurrant drink,1 unit,0
35928,rockstar blueberry pomegranat 500ml,rockstar xdurance biueberry pomegranate 500ml,No,,TRUE ,rockstar blueberry pomegranat 500ml,Rockstar,blueberry pomegranat drink,500 ml,0
36169,rowntree fruit pastille  114 g,rowntree fruit pastille pouch 114g,No,,FALSE ,Rowntree fruit pastille pouch 114 g,Rowntree,fruit pastille pouch,114 g,0
36169,rowntree fruit pastille  114 g,rowntrees fruit pastille 114g,No,,TRUE ,rowntree fruit pastille  114 g,Rowntree,fruit pastille,114 g,0
36169,rowntree fruit pastille  114 g,rowntrees fruit pastills  114 g,No,,TRUE ,rowntree fruit pastille  114 g,Rowntree,fruit pastille,114 g,0
36388,rubicon still mango 1ltr,rubicon still mango 1 ltr,No,,TRUE ,rubicon still mango 1ltr,Rubicon,still mango,1 L,0
36463,rustler 2xcheese burger flame grilled,rustler 2xcheese burger flame grilled,Yes,,TRUE ,Rustler cheese burger flame grilled 2 units,Rustler,cheese burger flame grilled,2 units,0
36575,saaki cashew nut honey 55g,saaki cashew nut honey55g,No,,TRUE ,saaki cashew nut honey 55g,Saaki,cashew nut honey,55 g,0
36781,san miguel lge nrb,san miguel large nrb,No,https://tb-static.uber.com/prod/image-proc/processed_images/fa7c5b44864afc25c8b2c106119ac7a5/859baff1d76042a45e319d1de80aec7a.jpeg,TRUE ,san miguel lge nrb,San Miguel,lager nrb beer,1 unit,0
36811,san pellegrino limonata 330ml,san pellegrino aranciata 330ml,No,,FALSE ,San Pellegrino aranciata drink 330 ml,San Pellegrino,aranciata drink,330 ml,0
37323,shani 330ml,shani 330 ml,No,,TRUE ,shani 330ml,Shani,drink,330 ml,0
37931,smirnoff 20cl,smirnoff 20cl,Yes,,TRUE ,Smirnoff vodka 1 unit,Smirnoff,vodka,1 unit,0
38068,smirnoff vodka 35cl,smirnoff vodka 35cl,No,,TRUE ,smirnoff vodka 35cl,Smirnoff,vodka,35 ml,0
38101,smirnoffw cola 250ml,smirnoff cola 250ml,No,,TRUE ,smirnoffw cola 250ml,Smirnoff,cola mixed drink,250 ml,0
38271,snicker snacksize 3x40g,snicker snacksize 3x40g,No,,TRUE ,snicker snacksize 3x40g,Snicker,snacksize chocolate candy bar,3 x 40 g,0
38363,sokolow grandma extra hamszynka babuni,sokolow grandma extra hamszynka babuni,Yes,,TRUE ,Sokolow Grandma extra hamszynka babuni 1 unit,Sokolow Grandma,extra hamszynka babuni,1 unit,0
38455,solo lush ice 600p,solo lush ice 600p,Yes,,TRUE,Solo Lush ice vape 600 p 1 unit,Solo,Lush ice vape 600 p,1 unit,0
38476,solo pink lemonade,solo extra pink lemonade,No,,TRUE,solo pink lemonade,Solo,Fume extra pink lemonade,1 unit,0
38565,sour patch kid 140 g,sour patch kid 160 g,No,,FALSE,sour patch kid 140 g,Sour Patch Kids, Soft & chewy candy,160 g,0
38697,sovereign new kingsize dual tt 20,20 sterling dual kingsize,No,,FALSE,sovereign new kingsize dual tt 20,Sterling,New dual king size cigarettes,20 units,0
38734,space raider beef 70g,space raider beef 70g,No,,TRUE,space raider beef 70g,Space Raiders,Beef crisps,70 g,0
38759,space raiders pickled onion crisp 70 g,space raider pickled onion 70g,No,,TRUE,space raiders pickled onion crisp 70 g,Space Raiders,Pickled onion crisps,70 g,0
38907,sprite,sprite,No,,TRUE,sprite,Sprite,Soda,1 unit,0
38932,sprite regular 2l,sprite regular 2ll,No,,TRUE,sprite regular 2l,Sprite,Regular soda,2 L,0
39147,starburst original,starburst mini original,No,,FALSE,starburst original,Starbust,Minis fruit chews candy,1 unit,0
39147,starburst original,starburst original,No,,TRUE,starburst original,Starbust,Fruit chews candy,1 unit,0
39227,stella artois 4.8 % 10pk,stella artois 4.8 % 10pk,Yes,,TRUE,Stella Artois Beer 10 units,Stella Artois,Beer,10 units,0
41903,tropical vibe fruit punch 300 ml,tropical vibe 300ml fruit punch,No,,TRUE,tropical vibe fruit punch 300 ml,Tropical Vibes,Fruit punch drink,300 ml,0
41903,tropical vibe fruit punch 300 ml,tropical vibe 300ml paradise punch,No,,FALSE,tropical vibe fruit punch 300 ml,Tropical Vibes,Paradise punch drink,300 ml,0
41901,tropical vibe ocean blue 300 ml,tropical vibe 300ml ocean blue,No,,TRUE,tropical vibe ocean blue 300 ml,Tropical Vibes,Ocen blue drink,300 ml,0
42268,twix xtra white ltd edition75g,twix xtra white ltd edition 75g,No,,TRUE,twix xtra white ltd edition75g,Twix,Limited edition white chocolate,75 g,0
42525,utterly butterly spread 500 g,utterly butterly 500g,No,,TRUE,utterly butterly spread 500 g,Utterly Butterfly,Spread,500 g,0
42577,vapeman solo 600puffs peach ice disposable,vapeman solo 600puffs grape ice disposable,Yes,,FALSE,Solo Grape ice vape 600 p 1 unit,Solo,Grape ice vape 600 p,1 unit,0
42577,vapeman solo 600puffs peach ice disposable,vapeman solo 600puffs guava ice disposable,Yes,,FALSE,Solo Guava ice vape 600 p 1 unit,Solo,Guava ice vape 600 p,1 unit,0
42577,vapeman solo 600puffs peach ice disposable,vapeman solo 600puffs lush ice disposable,Yes,,FALSE,Solo Lush ice vape 600 p 1 unit,Solo,Lush ice vape 600 p,1 unit,0
42577,vapeman solo 600puffs peach ice disposable,vapeman solo 600puffs lychee ice disposable,Yes,,FALSE,Solo Lychee ice vape 600 p 1 unit,Solo,Lychee ice vape 600 p,1 unit,0
42577,vapeman solo 600puffs peach ice disposable,vapeman solo 600puffs peach ice disposable,Yes,,TRUE,Solo Peach ice vape 600 p 1 unit,Solo,Peach ice vape 600 p,1 unit,0
42580,vapeman solo cherry ice 600 puff,solo cherry ice 600 puff,Yes,,TRUE,Solo Cherry ice vape 600 p 1 unit,Solo,Cherry ice vape 600 p,1 unit,0
42580,vapeman solo cherry ice 600 puff,solo cherry ice 600p,Yes,,TRUE,Solo Cherry ice vape 600 p 1 unit,Solo,Cherry ice vape 600 p,1 unit,0
42580,vapeman solo cherry ice 600 puff,vapeman mixed berry solo 600 puff,Yes,,FALSE,Solo Mixed berry vape 600 p 1 unit,Solo,Mixed berry vape 600 p,1 unit,0
42580,vapeman solo cherry ice 600 puff,vapeman solo cherry ice 600 puff,Yes,,TRUE,Solo Cherry ice vape 600 p 1 unit,Solo,Cherry ice vape 600 p,1 unit,0
43008,volvic 1.5 l,volvic 1.5 ltr,No,,TRUE,volvic 1.5 l,Volvic,Mineral water,1.5 L,0
43207,volvic touch of fruit sugar free lemon and lime,volvic touch of fruit lemon lime,No,,FALSE,volvic touch of fruit sugar free lemon and lime,Volvic,Touch of fruit lemon & lime mineral water,1 unit,0
43220,volvic touch of fruit summer fruit,volvic touch of fruit summer fruit sugar free,No,,FALSE,volvic touch of fruit summer fruit,Volvic,Touch of fruit summer fruit sugar free mineral water,1 unit,0
43323,wagon wheel jammie,wagon wheel jammie,No,,TRUE,wagon wheel jammie,Wagon Wheels,Jammie biscuits,1 unit,0
43755,walker cheese and onion,walker cheese onion,No,,TRUE,walker cheese and onion,Walkers,Cheese onion crisps,1 unit,0
43755,walker cheese and onion,walker crisp cheese onion,No,,TRUE,walker cheese and onion,Walkers,Cheese onion crisps,1 unit,0
43398,walker cheetos crunchy30g,walker cheetos crunchy30g,Yes,,TRUE,Cheetos Crunchy snack 30 g,Cheetos,Crunchy snack,30 g,0
43571,walker monster munch flamin hot snack 72 g,monster munch flamin hot 72g,No,,TRUE,walker monster munch flamin hot snack 72 g,Walkers,Monster Munch flamin' hot crisps,72 g,0
43571,walker monster munch flamin hot snack 72 g,walker monster munch flamin hot 72g,No,,TRUE,walker monster munch flamin hot snack 72 g,Walkers,Monster Munch flamin' hot crisps,72 g,0
43588,walker monster munch pickled onion 72 g,walker monster munch pickled onion 72g,No,,TRUE,walker monster munch pickled onion 72 g,Walkers,Monster Munch pickled onion crisps,72 g,0
43636,walker quaver cheese,walker quaver cheese,No,,TRUE,walker quaver cheese,Walkers,Quavers cheese snack,1 unit,0
43768,walker square salt vinegar snack 72 g,walker square salt vinegar 72g,No,,TRUE,walker square salt vinegar snack 72 g,Walkers,Squares salt & vinegar crisps,72 g,0
44849,wiseman semi skimmed 1ltr,wiseman semi skimmed 1ltr,Yes,,TRUE,Wiseman Semi skimmed milk 1 L,Wiseman,Semi skimmed milk,1 L,0
44851,wiseman semi skimmed milk 2ltr,wiseman semi skimmed milk 2ltr,Yes,,TRUE,Wiseman Semi skimmed milk 2 L,Wiseman,Semi skimmed milk,2 L,0
45078,wotsit flamin hot,wotsits flamin hot,No,,TRUE,wotsit flamin hot,Walkers,Wotsits flamin' hot snack,1 unit,0